Sample,Date,Replicate,Site,Trap,Formicidae,Wingless parasitoid,Araneae,Collembola,Acarina
R1,7/1/2020,A,Dix,ramp,3,0,4,16,2
R2,7/1/2020,B,Dix,ramp,14,0,13,48,13
R5,7/1/2020,A,Allerton,ramp,1,4,5,49,5
R6,7/1/2020,B,Allerton,ramp,4,2,1,30,7
R7,7/1/2020,A,Rec,ramp,7,3,3,53,2
R8,7/1/2020,B,Rec,ramp,3,3,0,8,0
R9,7/15/2020,A,Dix,ramp,5,2,12,5,3
R10,7/15/2020,B,Dix,ramp,34,1,5,8,0
R11,7/15/2020,A,Allerton,ramp,3,0,5,12,0
R12,7/15/2020,B,Allerton,ramp,6,4,8,47,3
R13,7/15/2020,A,Rec,ramp,34,3,3,15,0
R14,7/15/2020,B,Rec,ramp,56,2,2,17,0
R15,7/27/2020,A,Dix,ramp,96,1,33,29,6
R16,7/27/2020,B,Dix,ramp,25,0,24,22,2
R17,7/27/2020,A,Allerton,ramp,7,1,16,74,3
R18,7/27/2020,B,Allerton,ramp,12,4,16,74,7
R19,7/27/2020,A,Rec,ramp,20,0,6,16,0
R20,7/27/2020,B,Rec,ramp,12,1,3,9,0
R21,8/11/2020,A,Dix,ramp,5,1,53,22,8
R22,8/11/2020,B,Dix,ramp,11,0,32,15,10
R23,8/11/2020,A,Allerton,ramp,33,1,9,35,5
R24,8/11/2020,B,Allerton,ramp,8,5,19,20,21
R25,8/11/2020,A,Rec,ramp,1,1,0,1,0
R26,8/11/2020,B,Rec,ramp,9,2,7,10,5
R27,8/26/2020,A,Dix,ramp,24,1,8,3,7
R28,8/26/2020,B,Dix,ramp,3,2,12,8,6
R29,8/26/2020,A,Allerton,ramp,9,2,10,10,26
R30,8/26/2020,B,Allerton,ramp,5,1,8,4,29
R31,8/26/2020,A,Rec,ramp,61,4,2,0,0
R32,8/26/2020,B,Rec,ramp,30,2,1,0,0
R33,9/7/2020,A,Dix,ramp,2,3,12,5,9
R34,9/7/2020,B,Dix,ramp,3,0,5,6,4
R35,9/7/2020,A,Allerton,ramp,0,6,12,17,7
R36,9/7/2020,B,Allerton,ramp,2,2,4,30,15
R37,9/7/2020,A,Rec,ramp,6,0,3,4,0
R38,9/7/2020,B,Rec,ramp,3,1,0,0,2
R39,9/23/2020,A,Dix,ramp,2,0,7,4,2
R40,9/23/2020,B,Dix,ramp,1,0,3,1,6
R41,9/23/2020,A,Allerton,ramp,1,0,4,4,6
R42,9/23/2020,B,Allerton,ramp,1,1,4,3,3
R43,9/23/2020,A,Rec,ramp,12,0,2,8,0
R44,9/23/2020,B,Rec,ramp,5,0,5,6,1
C1,7/1/2020,A,Dix,sticky,0,0,0,0,0
C2,7/1/2020,B,Dix,sticky,1,0,2,0,0
C5,7/1/2020,A,Allerton,sticky,0,0,0,0,1
C6,7/1/2020,B,Allerton,sticky,0,0,0,0,1
C7,7/1/2020,A,Rec,sticky,0,0,0,0,0
C8,7/1/2020,B,Rec,sticky,0,0,0,0,0
C9,7/15/2020,A,Dix,sticky,0,0,2,0,0
C10,7/15/2020,B,Dix,sticky,0,0,0,0,0
C11,7/15/2020,A,Allerton,sticky,0,0,1,0,0
C12,7/15/2020,B,Allerton,sticky,0,0,0,0,0
C13,7/15/2020,A,Rec,sticky,0,0,1,0,0
C14,7/15/2020,B,Rec,sticky,0,0,0,0,0
C15,7/27/2020,A,Dix,sticky,0,0,0,1,0
C16,7/27/2020,B,Dix,sticky,0,0,0,0,0
C17,7/27/2020,A,Allerton,sticky,0,0,0,0,0
C18,7/27/2020,B,Allerton,sticky,0,0,0,0,1
C19,7/27/2020,A,Rec,sticky,0,0,0,0,0
C20,7/27/2020,B,Rec,sticky,1,0,1,0,0
C21,8/11/2020,A,Dix,sticky,0,0,2,1,0
C22,8/11/2020,B,Dix,sticky,0,0,0,0,0
C23,8/11/2020,A,Rec,sticky,0,0,0,0,0
C24,8/11/2020,B,Rec,sticky,0,0,0,0,0
C25,8/11/2020,A,Allerton,sticky,0,0,0,1,2
C26,8/11/2020,B,Allerton,sticky,0,0,0,0,0
C27,8/26/2020,A,Dix,sticky,0,0,0,0,0
C28,8/26/2020,B,Dix,sticky,0,0,0,0,0
C29,8/26/2020,A,Allerton,sticky,0,0,1,0,0
C30,8/26/2020,B,Allerton,sticky,0,0,3,0,0
C31,8/26/2020,A,Rec,sticky,0,0,2,0,0
C32,8/26/2020,B,Rec,sticky,0,0,0,0,0
C33,9/7/2020,A,Dix,sticky,0,0,0,0,0
C34,9/7/2020,B,Dix,sticky,0,0,1,0,0
C35,9/7/2020,A,Allerton,sticky,0,0,0,0,0
C36,9/7/2020,B,Allerton,sticky,0,0,1,0,0
C37,9/7/2020,A,Rec,sticky,0,0,0,0,0
C38,9/7/2020,B,Rec,sticky,0,0,0,0,0
C39,9/23/2020,A,Dix,sticky,0,0,0,0,0
C40,9/23/2020,B,Dix,sticky,0,0,1,0,0
C41,9/23/2020,A,Allerton,sticky,0,1,1,0,0
C42,9/23/2020,B,Allerton,sticky,0,0,1,0,0
C43,9/23/2020,A,Rec,sticky,0,0,1,0,0
C44,9/23/2020,B,Rec,sticky,2,0,0,0,0
P1,7/1/2020,A,Dix,pitfall,2,0,2,4,1
P2,7/1/2020,B,Dix,pitfall,2,0,1,2,0
P5,7/1/2020,A,Allerton,pitfall,1,0,4,9,0
P6,7/1/2020,B,Allerton,pitfall,1,0,5,9,1
P7,7/15/2020,A,Dix,pitfall,6,1,1,2,1
P8,7/15/2020,B,Dix,pitfall,9,0,3,0,0
P9,7/15/2020,A,Allerton,pitfall,1,0,1,2,0
P10,7/15/2020,B,Allerton,pitfall,13,0,4,11,1
P11,7/15/2020,A,Rec,pitfall,16,0,2,1,1
P12,7/15/2020,B,Rec,pitfall,5,3,0,3,0
P13,7/27/2020,A,Dix,pitfall,2,0,1,1,0
P14,7/27/2020,B,Dix,pitfall,10,1,2,5,2
P15,7/27/2020,A,Allerton,pitfall,4,1,12,14,1
P16,7/27/2020,B,Allerton,pitfall,3,0,5,0,1
P17,7/27/2020,A,Rec,pitfall,44,2,2,0,0
P18,7/27/2020,B,Rec,pitfall,1,0,0,1,0
P19,8/11/2020,A,Dix,pitfall,4,2,6,0,0
P20,8/11/2020,B,Dix,pitfall,8,1,2,3,0
P21,8/11/2020,A,Allerton,pitfall,4,0,2,2,2
P22,8/11/2020,B,Allerton,pitfall,0,1,6,0,0
P23,8/11/2020,A,Rec,pitfall,6,0,2,0,1
P24,8/26/2020,A,Dix,pitfall,2,1,1,0,1
P25,8/26/2020,B,Dix,pitfall,1,1,2,0,0
P26,8/26/2020,A,Allerton,pitfall,0,3,4,0,4
P27,8/26/2020,B,Allerton,pitfall,2,2,4,0,2
P28,8/26/2020,A,Rec,pitfall,1,0,0,0,0
P29,8/26/2020,B,Rec,pitfall,15,0,0,0,1
P30,9/7/2020,A,Dix,pitfall,2,1,2,0,0
P31,9/7/2020,B,Dix,pitfall,0,0,2,0,0
P32,9/7/2020,A,Allerton,pitfall,3,0,2,4,1
P33,9/7/2020,B,Allerton,pitfall,3,0,5,2,0
P34,9/7/2020,A,Rec,pitfall,0,0,2,1,0
P35,9/7/2020,B,Rec,pitfall,7,0,9,0,0
P36,9/23/2020,A,Dix,pitfall,1,0,1,4,0
P37,9/23/2020,B,Dix,pitfall,3,0,1,0,0
P38,9/23/2020,A,Allerton,pitfall,1,0,0,0,0
P39,9/23/2020,B,Allerton,pitfall,0,0,1,0,0
P40,9/23/2020,A,Rec,pitfall,1,0,0,0,0
P41,9/23/2020,B,Rec,pitfall,0,0,0,1,0
J1,7/1/2020,A,Dix,jar,6,0,1,0,1
J2,7/1/2020,B,Dix,jar,2,0,2,0,1
J5,7/1/2020,A,Allerton,jar,0,0,1,4,0
J6,7/1/2020,B,Allerton,jar,0,0,0,9,0
J7,7/1/2020,A,Rec,jar,4,0,0,3,0
J8,7/1/2020,B,Rec,jar,3,0,0,7,4
J9,7/15/2020,A,Dix,jar,9,3,1,2,0
J10,7/15/2020,B,Dix,jar,3,2,2,0,0
J11,7/15/2020,A,Allerton,jar,2,3,2,1,4
J12,7/15/2020,B,Allerton,jar,1,1,1,4,0
J13,7/15/2020,A,Rec,jar,12,0,2,1,0
J14,7/15/2020,B,Rec,jar,3,5,0,2,0
J15,7/27/2020,A,Dix,jar,9,0,14,7,0
J16,7/27/2020,B,Dix,jar,18,0,17,1,0
J17,7/27/2020,A,Allerton,jar,1,3,9,3,0
J18,7/27/2020,B,Allerton,jar,2,1,5,4,0
J19,7/27/2020,A,Rec,jar,14,0,3,0,0
J20,7/27/2020,B,Rec,jar,9,0,1,1,0
J21,8/11/2020,A,Dix,jar,5,0,53,0,0
J22,8/11/2020,B,Dix,jar,7,0,14,0,0
J23,8/11/2020,A,Allerton,jar,0,1,11,0,0
J24,8/11/2020,B,Allerton,jar,1,0,5,1,1
J25,8/11/2020,A,Rec,jar,4,0,1,0,0
J26,8/11/2020,B,Rec,jar,1,0,2,1,0
J27,8/26/2020,A,Dix,jar,8,0,8,0,1
J28,8/26/2020,B,Dix,jar,2,1,22,0,2
J29,8/26/2020,A,Allerton,jar,8,3,6,0,2
J30,8/26/2020,B,Allerton,jar,4,0,3,0,0
J31,8/26/2020,A,Rec,jar,17,1,2,0,0
J32,8/26/2020,B,Rec,jar,64,0,0,0,0
J33,9/7/2020,A,Dix,jar,0,0,4,0,1
J34,9/7/2020,B,Dix,jar,3,1,3,1,1
J35,9/7/2020,A,Allerton,jar,1,0,1,0,0
J36,9/7/2020,B,Allerton,jar,0,1,3,0,0
J37,9/7/2020,A,Rec,jar,5,0,1,0,0
J38,9/7/2020,B,Rec,jar,21,1,2,0,0
J39,9/23/2020,A,Dix,jar,2,0,2,1,1
J40,9/23/2020,B,Dix,jar,1,0,4,0,0
J41,9/23/2020,A,Allerton,jar,1,3,6,1,0
J42,9/23/2020,B,Allerton,jar,0,1,0,5,2
J43,9/23/2020,A,Rec,jar,6,0,2,0,0
J44,9/23/2020,B,Rec,jar,10,0,2,0,0
