Sample,Date,Replicate,Site,Trap,Diptera,Apoidea,Ichneumonoidea,Chalcidoidea,Pompilidae,Miridae,Aleyrodidae,Anthocoridae,Nabidae,Alydidae,Cantharidae,Lampyridae,Coccinellidae,Chrysomelidae,Curculionidae,Mordellidae,Buprestidae,Lepidoptera,Thysanoptera,Psocidae,Hemerobiidae,Zygoptera
R1,7/1/2020,A,Dix,ramp,51,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,1,0
R2,7/1/2020,B,Dix,ramp,25,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0
R5,7/1/2020,A,Allerton,ramp,68,0,3,12,0,0,2,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0
R6,7/1/2020,B,Allerton,ramp,80,0,1,11,0,0,1,0,0,0,1,0,0,0,2,0,0,1,8,0,0,0
R7,7/1/2020,A,Rec,ramp,25,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0
R8,7/1/2020,B,Rec,ramp,17,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
R9,7/15/2020,A,Dix,ramp,43,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
R10,7/15/2020,B,Dix,ramp,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0
R11,7/15/2020,A,Allerton,ramp,132,0,2,16,0,0,3,0,0,0,0,0,0,0,5,0,0,0,21,0,0,0
R12,7/15/2020,B,Allerton,ramp,131,0,0,12,0,2,0,0,1,0,0,0,0,0,1,0,0,0,17,0,0,0
R13,7/15/2020,A,Rec,ramp,28,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
R14,7/15/2020,B,Rec,ramp,28,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
R15,7/27/2020,A,Dix,ramp,52,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0
R16,7/27/2020,B,Dix,ramp,56,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
R17,7/27/2020,A,Allerton,ramp,49,0,0,27,0,0,4,0,0,0,0,0,1,1,2,0,0,0,14,0,0,0
R18,7/27/2020,B,Allerton,ramp,48,0,1,14,0,5,3,0,0,0,0,0,1,2,1,0,0,0,17,0,0,0
R19,7/27/2020,A,Rec,ramp,17,5,0,6,0,0,4,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
R20,7/27/2020,B,Rec,ramp,29,3,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
R21,8/11/2020,A,Dix,ramp,54,2,0,14,0,0,0,0,0,0,1,0,0,2,0,0,0,0,12,0,0,0
R22,8/11/2020,B,Dix,ramp,56,0,1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0
R23,8/11/2020,A,Allerton,ramp,88,0,3,22,0,4,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0
R24,8/11/2020,B,Allerton,ramp,86,0,0,34,0,1,1,0,0,1,0,0,2,3,1,0,0,0,11,0,0,0
R25,8/11/2020,A,Rec,ramp,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R26,8/11/2020,B,Rec,ramp,30,2,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,7,0,0,0
R27,8/26/2020,A,Dix,ramp,27,7,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0
R28,8/26/2020,B,Dix,ramp,45,0,0,22,0,0,1,0,1,0,1,0,1,1,0,0,0,0,10,0,0,0
R29,8/26/2020,A,Allerton,ramp,70,0,2,35,0,2,1,0,0,0,11,0,2,7,0,0,0,0,7,0,0,0
R30,8/26/2020,B,Allerton,ramp,80,0,1,75,0,2,0,0,0,0,5,0,1,8,0,0,0,0,7,0,0,0
R31,8/26/2020,A,Rec,ramp,13,0,0,11,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,1,0,1
R32,8/26/2020,B,Rec,ramp,19,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0,0
R33,9/7/2020,A,Dix,ramp,31,0,1,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0
R34,9/7/2020,B,Dix,ramp,25,1,2,31,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10,0,0,0
R35,9/7/2020,A,Allerton,ramp,36,0,5,23,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0
R36,9/7/2020,B,Allerton,ramp,53,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0
R37,9/7/2020,A,Rec,ramp,14,1,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,0,0,0
R38,9/7/2020,B,Rec,ramp,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
R39,9/23/2020,A,Dix,ramp,13,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
R40,9/23/2020,B,Dix,ramp,8,0,1,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0
R41,9/23/2020,A,Allerton,ramp,6,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
R42,9/23/2020,B,Allerton,ramp,13,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R43,9/23/2020,A,Rec,ramp,6,3,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
R44,9/23/2020,B,Rec,ramp,22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C1,7/1/2020,A,Dix,sticky,34,0,3,7,0,0,7,0,0,0,0,2,1,0,0,0,0,2,139,0,0,0
C2,7/1/2020,B,Dix,sticky,37,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0
C5,7/1/2020,A,Allerton,sticky,90,0,9,7,0,0,9,1,0,0,0,1,0,0,0,0,0,0,43,0,0,0
C6,7/1/2020,B,Allerton,sticky,82,0,5,13,0,0,17,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0
C7,7/1/2020,A,Rec,sticky,30,0,1,4,0,0,3,0,0,0,0,1,1,0,0,0,0,1,86,0,0,0
C8,7/1/2020,B,Rec,sticky,48,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
C9,7/15/2020,A,Dix,sticky,24,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0,0,0
C10,7/15/2020,B,Dix,sticky,21,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0
C11,7/15/2020,A,Allerton,sticky,75,0,1,8,0,0,8,0,0,0,0,0,0,0,0,0,1,0,32,1,0,0
C12,7/15/2020,B,Allerton,sticky,78,0,5,10,0,0,3,0,0,0,1,0,0,0,1,1,0,0,40,1,0,0
C13,7/15/2020,A,Rec,sticky,22,0,1,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,58,1,0,0
C14,7/15/2020,B,Rec,sticky,35,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,1,0,0
C15,7/27/2020,A,Dix,sticky,47,1,1,2,0,0,2,0,1,0,1,0,1,1,0,0,0,0,51,0,0,0
C16,7/27/2020,B,Dix,sticky,26,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
C17,7/27/2020,A,Allerton,sticky,67,0,0,5,0,0,20,0,0,0,0,0,0,3,0,0,0,1,42,0,0,0
C18,7/27/2020,B,Allerton,sticky,107,0,2,6,0,0,14,0,0,0,0,0,0,4,1,0,0,0,36,1,0,0
C19,7/27/2020,A,Rec,sticky,15,0,0,9,0,0,4,0,0,0,1,0,0,0,0,0,0,0,17,1,0,0
C20,7/27/2020,B,Rec,sticky,17,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0
C21,8/11/2020,A,Dix,sticky,56,0,0,6,0,0,1,0,1,0,5,0,0,0,0,0,0,0,12,0,0,0
C22,8/11/2020,B,Dix,sticky,47,1,1,10,0,0,5,0,0,0,3,0,1,1,0,0,0,1,34,1,0,0
C23,8/11/2020,A,Rec,sticky,28,0,3,6,0,0,2,0,0,0,3,0,1,3,0,0,0,1,15,1,0,0
C24,8/11/2020,B,Rec,sticky,30,0,0,6,0,0,3,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0
C25,8/11/2020,A,Allerton,sticky,80,0,4,21,0,0,17,0,0,0,1,0,0,6,0,0,0,0,18,0,0,0
C26,8/11/2020,B,Allerton,sticky,105,0,0,11,0,0,12,0,0,0,1,0,1,2,0,0,0,0,19,0,0,0
C27,8/26/2020,A,Dix,sticky,20,0,7,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0
C28,8/26/2020,B,Dix,sticky,30,0,2,9,0,0,1,0,0,0,4,0,0,1,0,0,0,0,14,0,0,0
C29,8/26/2020,A,Allerton,sticky,38,0,3,19,0,0,5,0,0,0,28,0,3,8,0,0,0,1,12,0,0,0
C30,8/26/2020,B,Allerton,sticky,36,0,5,12,0,0,3,0,0,0,32,0,0,9,0,0,0,1,10,2,0,0
C31,8/26/2020,A,Rec,sticky,11,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1,0,0
C32,8/26/2020,B,Rec,sticky,15,0,2,7,0,0,4,0,0,0,1,0,1,1,0,0,0,1,8,4,0,0
C33,9/7/2020,A,Dix,sticky,7,0,3,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0
C34,9/7/2020,B,Dix,sticky,6,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
C35,9/7/2020,A,Allerton,sticky,40,0,2,32,0,0,12,0,0,0,1,0,1,2,0,0,0,1,25,0,0,0
C36,9/7/2020,B,Allerton,sticky,25,2,1,44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
C37,9/7/2020,A,Rec,sticky,18,1,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0
C38,9/7/2020,B,Rec,sticky,13,1,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,0,0
C39,9/23/2020,A,Dix,sticky,9,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0
C40,9/23/2020,B,Dix,sticky,8,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0
C41,9/23/2020,A,Allerton,sticky,10,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
C42,9/23/2020,B,Allerton,sticky,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
C43,9/23/2020,A,Rec,sticky,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
C44,9/23/2020,B,Rec,sticky,21,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P1,7/1/2020,A,Dix,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2,7/1/2020,B,Dix,pitfall,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P5,7/1/2020,A,Allerton,pitfall,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P6,7/1/2020,B,Allerton,pitfall,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P7,7/15/2020,A,Dix,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P8,7/15/2020,B,Dix,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9,7/15/2020,A,Allerton,pitfall,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P10,7/15/2020,B,Allerton,pitfall,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P11,7/15/2020,A,Rec,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,7/15/2020,B,Rec,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P13,7/27/2020,A,Dix,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P14,7/27/2020,B,Dix,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15,7/27/2020,A,Allerton,pitfall,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
P16,7/27/2020,B,Allerton,pitfall,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P17,7/27/2020,A,Rec,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
P18,7/27/2020,B,Rec,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19,8/11/2020,A,Dix,pitfall,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P20,8/11/2020,B,Dix,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21,8/11/2020,A,Allerton,pitfall,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P22,8/11/2020,B,Allerton,pitfall,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23,8/11/2020,A,Rec,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P24,8/26/2020,A,Dix,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P25,8/26/2020,B,Dix,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P26,8/26/2020,A,Allerton,pitfall,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P27,8/26/2020,B,Allerton,pitfall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P28,8/26/2020,A,Rec,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P29,8/26/2020,B,Rec,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P30,9/7/2020,A,Dix,pitfall,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P31,9/7/2020,B,Dix,pitfall,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P32,9/7/2020,A,Allerton,pitfall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P33,9/7/2020,B,Allerton,pitfall,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P34,9/7/2020,A,Rec,pitfall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P35,9/7/2020,B,Rec,pitfall,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P36,9/23/2020,A,Dix,pitfall,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P37,9/23/2020,B,Dix,pitfall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P38,9/23/2020,A,Allerton,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P39,9/23/2020,B,Allerton,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40,9/23/2020,A,Rec,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P41,9/23/2020,B,Rec,pitfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J1,7/1/2020,A,Dix,jar,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J2,7/1/2020,B,Dix,jar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J5,7/1/2020,A,Allerton,jar,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J6,7/1/2020,B,Allerton,jar,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J7,7/1/2020,A,Rec,jar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J8,7/1/2020,B,Rec,jar,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J9,7/15/2020,A,Dix,jar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J10,7/15/2020,B,Dix,jar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J11,7/15/2020,A,Allerton,jar,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
J12,7/15/2020,B,Allerton,jar,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J13,7/15/2020,A,Rec,jar,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
J14,7/15/2020,B,Rec,jar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J15,7/27/2020,A,Dix,jar,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
J16,7/27/2020,B,Dix,jar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
J17,7/27/2020,A,Allerton,jar,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J18,7/27/2020,B,Allerton,jar,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J19,7/27/2020,A,Rec,jar,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J20,7/27/2020,B,Rec,jar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J21,8/11/2020,A,Dix,jar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
J22,8/11/2020,B,Dix,jar,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J23,8/11/2020,A,Allerton,jar,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J24,8/11/2020,B,Allerton,jar,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
J25,8/11/2020,A,Rec,jar,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J26,8/11/2020,B,Rec,jar,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
J27,8/26/2020,A,Dix,jar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
J28,8/26/2020,B,Dix,jar,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
J29,8/26/2020,A,Allerton,jar,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
J30,8/26/2020,B,Allerton,jar,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J31,8/26/2020,A,Rec,jar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
J32,8/26/2020,B,Rec,jar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J33,9/7/2020,A,Dix,jar,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J34,9/7/2020,B,Dix,jar,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
J35,9/7/2020,A,Allerton,jar,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J36,9/7/2020,B,Allerton,jar,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J37,9/7/2020,A,Rec,jar,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J38,9/7/2020,B,Rec,jar,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J39,9/23/2020,A,Dix,jar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J40,9/23/2020,B,Dix,jar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J41,9/23/2020,A,Allerton,jar,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J42,9/23/2020,B,Allerton,jar,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
J43,9/23/2020,A,Rec,jar,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J44,9/23/2020,B,Rec,jar,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
